,Order,PID,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemod/Add,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
599,600,534275060,SC20,RL,60.0,7436,2,None,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,4,7,1960,1960,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,3,0,5,734.0,1,0.0,160.0,894.0,GasA,4,Y,SBrkr,894,0,0,894,1.0,0.0,1,0,2,1,3,5,8,1,1,Detchd,1988.0,Unf,2.0,396.0,3,3,2,0,0,0,360,0,0,0,GdWo,No,0,Aug,2009,WD ,Normal,141500
600,601,534275100,SC20,RL,65.0,8125,2,None,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,7,1959,1959,Hip,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,0,4,403.0,1,0.0,461.0,864.0,GasA,5,Y,SBrkr,864,0,0,864,0.0,0.0,1,0,3,1,3,5,8,0,0,Detchd,1960.0,Unf,1.0,308.0,3,3,2,0,0,0,0,0,0,0,No,No,0,Sep,2009,WD ,Normal,118000
601,602,534276040,SC20,RL,70.0,9100,2,None,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,6,6,1959,1959,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,0,3,612.0,1,0.0,252.0,864.0,GasA,5,Y,SBrkr,864,0,0,864,0.0,0.0,1,0,2,1,3,5,8,0,0,Detchd,2008.0,Unf,1.0,300.0,5,5,2,0,0,0,0,0,0,0,No,Shed,450,Oct,2009,WD ,Normal,127500
602,603,534277090,SC20,RL,0.0,9450,2,None,3,Lvl,4,Corner,3,NAmes,Norm,Norm,1Fam,1Story,4,5,1957,1957,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,160.0,3,3,CBlock,3,3,0,4,775.0,1,0.0,265.0,1040.0,GasA,3,Y,SBrkr,1362,0,0,1362,1.0,0.0,1,0,3,1,3,6,8,1,4,Attchd,1982.0,RFn,3.0,768.0,3,3,2,0,0,84,0,0,0,0,MnPrv,No,0,May,2009,WD ,Normal,140000
603,604,534278070,SC20,RL,0.0,13495,2,None,3,Lvl,4,Corner,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1956,1956,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,70.0,3,4,CBlock,3,3,0,4,625.0,2,201.0,222.0,1048.0,GasA,2,Y,SBrkr,1728,0,0,1728,1.0,0.0,2,0,3,1,3,7,7,1,4,Detchd,1956.0,Unf,2.0,576.0,3,3,2,0,99,0,0,0,0,0,No,No,0,Jul,2009,WD ,Normal,177625
604,605,534278230,SC90,RL,85.0,11475,2,None,4,Lvl,4,Corner,3,NAmes,Norm,Norm,Duplex,1Story,5,5,1958,1958,Gable,CompShg,VinylSd,VinylSd,BrkFace,95.0,3,3,CBlock,3,3,0,1,0.0,1,0.0,1584.0,1584.0,GasA,3,Y,SBrkr,1776,0,0,1776,1.0,0.0,2,0,4,2,3,9,8,0,0,Detchd,1968.0,Unf,3.0,888.0,3,3,2,0,25,0,0,0,0,0,No,No,0,Jul,2009,COD,Abnorml,110000
605,606,534400050,SC20,RL,100.0,10004,2,None,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,6,6,1964,1964,Gable,CompShg,HdBoard,Plywood,BrkFace,180.0,3,3,CBlock,3,3,0,3,196.0,4,345.0,975.0,1516.0,GasA,3,Y,SBrkr,1516,0,0,1516,0.0,0.0,1,1,3,1,3,6,8,0,0,Attchd,1964.0,RFn,2.0,472.0,3,3,2,0,0,0,0,152,0,0,No,No,0,Feb,2009,WD ,Normal,167000
606,607,534400290,SC20,RL,85.0,9350,2,None,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1961,1995,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,217.0,3,3,CBlock,3,3,0,5,310.0,4,512.0,491.0,1313.0,GasA,3,Y,SBrkr,1313,0,0,1313,1.0,0.0,1,1,3,1,4,6,8,1,3,Attchd,1961.0,RFn,2.0,610.0,3,3,2,172,28,0,0,121,0,0,MnPrv,No,0,Feb,2009,WD ,Normal,153000
607,608,534402060,SC20,RL,115.0,10500,2,None,3,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,5,1964,1964,Gable,CompShg,HdBoard,HdBoard,Stone,144.0,3,4,CBlock,3,3,0,2,998.0,1,0.0,294.0,1292.0,GasA,3,Y,SBrkr,1292,0,0,1292,1.0,0.0,1,1,3,1,3,6,8,2,4,Detchd,1964.0,Unf,2.0,520.0,3,3,2,0,32,0,0,92,0,0,No,No,0,Jul,2009,COD,Abnorml,145100
608,609,534402140,SC20,RL,0.0,11000,2,None,3,Lvl,4,CulDSac,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1966,1966,Gable,CompShg,Plywood,Plywood,BrkFace,200.0,3,3,CBlock,3,3,1,4,740.0,3,230.0,184.0,1154.0,GasA,5,Y,SBrkr,1154,0,0,1154,0.0,0.0,1,1,3,1,3,6,8,1,1,Attchd,1966.0,RFn,2.0,480.0,3,3,2,0,58,0,0,0,0,0,MnPrv,No,0,Nov,2009,WD ,Normal,154000
609,610,534402170,SC60,RL,0.0,8970,2,None,3,Lvl,4,Corner,3,NAmes,Norm,Norm,1Fam,2Story,5,6,1965,1965,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3,3,0,5,388.0,1,0.0,356.0,744.0,GasA,3,Y,SBrkr,825,1315,0,2140,0.0,0.0,2,1,4,1,3,7,8,1,3,Attchd,1965.0,Fin,2.0,549.0,3,3,2,0,40,264,0,0,0,0,MnPrv,No,0,Jun,2009,WD ,Normal,177500
610,611,534403370,SC80,RL,0.0,12095,2,None,3,Lvl,4,Corner,3,NAmes,Norm,Norm,1Fam,SLvl,6,6,1964,1964,Gable,CompShg,MetalSd,HdBoard,BrkFace,115.0,3,4,CBlock,3,3,3,3,564.0,1,0.0,563.0,1127.0,GasA,3,Y,SBrkr,1445,0,0,1445,0.0,0.0,1,1,3,1,3,7,8,1,2,Attchd,1964.0,RFn,2.0,645.0,3,3,2,180,0,0,0,0,0,0,MnPrv,No,0,Aug,2009,WD ,Normal,158000
611,612,534426110,SC20,RL,80.0,9600,2,None,4,Lvl,4,Corner,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,MetalSd,MetalSd,BrkFace,132.0,3,3,CBlock,3,3,0,5,991.0,1,0.0,50.0,1041.0,GasA,5,Y,SBrkr,1041,0,0,1041,1.0,0.0,1,0,3,1,3,6,8,0,0,Attchd,1959.0,RFn,1.0,270.0,3,3,2,224,88,0,0,0,0,0,MnPrv,No,0,Jul,2009,WD ,Normal,124500
612,613,534429150,SC80,RL,85.0,11475,2,None,4,Lvl,4,Corner,3,NAmes,Norm,Norm,1Fam,SLvl,6,6,1961,1961,Hip,CompShg,HdBoard,HdBoard,BrkFace,90.0,3,3,CBlock,3,3,3,5,568.0,1,0.0,640.0,1208.0,GasA,5,Y,SBrkr,1576,0,0,1576,1.0,0.0,1,0,4,1,4,7,8,1,1,BuiltIn,1961.0,Fin,2.0,368.0,3,3,2,85,0,0,0,0,0,0,No,No,0,Sep,2009,WD ,Normal,174500
613,614,534431130,SC20,RL,68.0,9768,2,None,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,5,1955,1955,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,0,3,100.0,5,247.0,613.0,960.0,GasA,4,Y,SBrkr,960,0,0,960,1.0,0.0,1,0,2,1,3,5,8,0,0,Attchd,1955.0,RFn,1.0,330.0,3,3,2,0,70,0,0,0,0,0,MnPrv,No,0,Feb,2009,WD ,Normal,122000
614,615,534450150,SC30,RL,50.0,5330,2,None,4,HLS,4,Inside,3,BrkSide,Norm,Norm,1Fam,1Story,4,7,1940,1950,Hip,CompShg,VinylSd,VinylSd,None,0.0,2,3,CBlock,3,3,0,2,280.0,1,0.0,140.0,420.0,GasA,4,Y,SBrkr,708,0,0,708,0.0,0.0,1,0,2,1,2,5,8,0,0,No,,No,0.0,0.0,0,0,2,164,0,0,0,0,0,0,No,No,0,Dec,2009,WD ,Normal,82500
615,616,534451110,SC50,RL,0.0,7015,2,None,3,Bnk,4,Corner,3,BrkSide,Norm,Norm,1Fam,1.5Fin,5,4,1950,1950,Gable,CompShg,MetalSd,MetalSd,BrkCmn,161.0,3,3,CBlock,3,3,0,2,185.0,1,0.0,524.0,709.0,GasA,3,Y,SBrkr,979,224,0,1203,1.0,0.0,1,0,3,1,4,5,8,1,3,Detchd,1950.0,Unf,1.0,352.0,3,3,2,0,0,248,0,0,0,0,No,No,0,Jul,2009,WD ,Normal,110000
616,617,534475185,SC20,RL,128.0,12160,2,None,4,Lvl,4,Inside,3,NAmes,Feedr,Norm,1Fam,1Story,6,4,1953,1953,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,90.0,3,3,CBlock,3,3,0,4,1024.0,1,0.0,481.0,1505.0,GasA,5,Y,SBrkr,1505,0,0,1505,1.0,0.0,1,0,2,1,3,6,8,1,3,Attchd,1953.0,RFn,2.0,505.0,3,3,2,0,0,0,162,0,0,0,No,No,0,Feb,2009,WD ,Normal,149500
617,618,534475250,SC20,RL,90.0,9900,2,None,4,Lvl,4,Inside,3,NAmes,Feedr,Norm,1Fam,1Story,6,5,1967,1967,Gable,CompShg,BrkComm,Brk Cmn,None,0.0,4,3,CBlock,3,3,0,3,1173.0,1,0.0,507.0,1680.0,GasA,3,Y,SBrkr,1691,0,0,1691,1.0,0.0,1,0,2,1,3,5,8,0,0,Attchd,1967.0,Unf,2.0,550.0,4,3,2,0,67,260,0,0,0,0,MnPrv,No,0,Apr,2009,WD ,Normal,175000
618,619,534476150,SC20,RL,80.0,9600,2,None,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,6,5,1953,1953,Hip,CompShg,HdBoard,HdBoard,Stone,238.0,3,3,CBlock,3,3,0,6,1285.0,1,0.0,131.0,1416.0,GasA,3,Y,SBrkr,1644,0,0,1644,1.0,0.0,1,0,3,1,3,7,8,2,4,Attchd,1953.0,Fin,2.0,418.0,3,3,2,110,0,0,0,0,0,0,No,No,0,Oct,2009,WD ,Normal,167000
619,620,534476320,SC20,RL,80.0,9600,2,None,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1956,1956,Hip,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,0,3,504.0,1,0.0,546.0,1050.0,GasA,4,Y,SBrkr,1050,0,0,1050,0.0,0.0,1,0,2,1,3,5,8,0,0,Attchd,1956.0,Unf,1.0,338.0,3,3,2,0,0,0,0,0,0,0,No,No,0,Jun,2009,WD ,Normal,128900
620,621,534477110,SC50,RL,80.0,9600,2,None,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1.5Fin,6,8,1950,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,0,4,120.0,1,0.0,736.0,856.0,GasA,5,Y,SBrkr,1112,556,0,1668,0.0,0.0,1,1,3,1,3,6,6,0,0,Attchd,1950.0,Unf,1.0,271.0,3,3,2,0,0,0,0,0,0,0,MnPrv,No,0,Sep,2009,WD ,Normal,140000
621,622,534478230,SC20,RL,80.0,9600,2,None,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,7,1950,2007,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,3,CBlock,3,3,0,5,607.0,1,0.0,506.0,1113.0,GasA,4,Y,SBrkr,1113,0,0,1113,0.0,0.0,1,0,3,1,4,5,8,1,4,Attchd,1950.0,Unf,1.0,264.0,3,3,2,0,80,120,0,0,0,0,No,No,0,Jul,2009,WD ,Normal,147000
622,623,535101120,SC90,RL,65.0,8944,2,None,4,Lvl,4,Inside,3,NAmes,Norm,Norm,Duplex,1Story,5,5,1967,1967,Gable,CompShg,Plywood,Plywood,None,0.0,3,3,CBlock,3,3,0,1,0.0,1,0.0,1584.0,1584.0,GasA,3,Y,SBrkr,1584,0,0,1584,0.0,0.0,2,0,4,2,3,8,5,0,0,Detchd,1967.0,Unf,3.0,792.0,3,3,2,0,152,0,0,0,0,0,No,No,0,Apr,2009,WD ,Normal,124000
623,624,535104120,SC20,RL,92.0,10573,2,None,3,Lvl,4,Corner,3,NAmes,Norm,Norm,1Fam,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,3,3,CBlock,3,3,0,3,1312.0,1,0.0,141.0,1453.0,GasA,5,Y,SBrkr,1453,0,0,1453,1.0,0.0,2,0,3,1,3,6,8,1,3,Attchd,1961.0,RFn,2.0,530.0,3,3,2,0,49,0,0,288,0,0,GdPrv,No,0,Apr,2009,WD ,Normal,187500
624,625,535105100,SC20,RL,0.0,9500,2,None,3,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,6,5,1963,1963,Gable,CompShg,Plywood,Plywood,BrkFace,247.0,3,3,CBlock,4,3,0,4,609.0,1,0.0,785.0,1394.0,GasA,4,Y,SBrkr,1394,0,0,1394,1.0,0.0,1,1,3,1,3,6,8,2,4,Attchd,1963.0,RFn,2.0,514.0,3,3,2,0,76,0,0,185,0,0,No,No,0,Jul,2009,WD ,Normal,159000
625,626,535125070,SC20,RL,80.0,14695,2,None,3,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,6,8,1966,2008,Gable,CompShg,MetalSd,MetalSd,BrkFace,210.0,3,4,CBlock,3,3,0,5,1387.0,1,0.0,175.0,1562.0,GasA,4,Y,SBrkr,1567,0,0,1567,1.0,0.0,2,0,2,1,4,5,8,2,4,Attchd,1966.0,Unf,2.0,542.0,3,3,2,0,110,0,0,342,0,0,GdWo,No,0,Jul,2009,WD ,Normal,256000
626,627,535125090,SC60,RL,85.0,13600,2,None,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,2Story,7,6,1965,1990,Gable,CompShg,HdBoard,HdBoard,BrkFace,176.0,3,3,CBlock,3,3,0,4,454.0,1,0.0,314.0,768.0,GasA,3,Y,SBrkr,1186,800,0,1986,0.0,0.0,2,1,3,1,3,7,8,3,2,Attchd,1965.0,Unf,2.0,486.0,3,3,2,0,42,0,0,189,0,0,No,No,0,Oct,2009,WD ,Normal,205000
627,628,535126010,SC60,RL,100.0,13000,2,None,4,Lvl,4,Corner,3,NAmes,Norm,Norm,1Fam,2Story,6,6,1968,1968,Gable,CompShg,VinylSd,VinylSd,BrkFace,576.0,3,4,CBlock,4,3,0,3,448.0,1,0.0,448.0,896.0,GasA,3,Y,SBrkr,1182,960,0,2142,0.0,0.0,2,1,4,1,4,8,8,1,4,Attchd,1968.0,Fin,1.0,509.0,3,3,2,0,72,0,0,252,0,0,No,No,0,Jun,2009,WD ,Normal,193500
628,629,535126100,SC20,RL,120.0,13560,2,None,4,Lvl,4,Corner,3,NAmes,Norm,Norm,1Fam,1Story,6,3,1968,1968,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,216.0,3,3,CBlock,2,2,0,1,0.0,1,0.0,1392.0,1392.0,GasA,4,Y,SBrkr,1392,0,0,1392,1.0,0.0,1,0,2,1,3,5,3,2,3,Attchd,1968.0,RFn,2.0,576.0,3,3,2,0,0,240,0,0,0,0,No,No,0,Jul,2009,WD ,Normal,110000
629,630,535150070,SC50,RL,0.0,12513,2,None,3,Lvl,4,FR2,3,NAmes,Feedr,Norm,1Fam,1.5Fin,4,4,1920,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,BrkTil,3,2,0,1,0.0,1,0.0,715.0,715.0,GasA,4,Y,SBrkr,1281,457,0,1738,0.0,0.0,2,0,4,1,3,7,8,1,4,Attchd,1920.0,Unf,1.0,368.0,3,3,2,55,0,0,0,0,0,0,No,No,0,Jun,2009,WD ,Normal,104900
630,631,535151040,SC20,RL,73.0,8760,2,None,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,7,1956,1956,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,164.0,4,3,CBlock,3,3,0,5,856.0,1,0.0,313.0,1169.0,GasA,3,Y,SBrkr,1144,0,0,1144,1.0,0.0,1,0,3,1,3,6,8,0,0,Attchd,1956.0,RFn,1.0,286.0,3,3,2,257,0,0,0,0,0,0,No,No,0,Jun,2009,WD ,Normal,150000
631,632,535152230,SC20,RL,70.0,8400,2,None,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,6,3,1957,1957,Hip,CompShg,BrkFace,BrkFace,None,0.0,3,3,CBlock,3,3,0,5,189.0,3,661.0,628.0,1478.0,GasA,4,Y,SBrkr,1478,0,0,1478,1.0,0.0,1,1,3,1,3,6,8,2,4,Attchd,1957.0,RFn,2.0,442.0,3,3,2,114,0,0,0,216,0,0,No,No,0,Jun,2009,WD ,Normal,156500
632,633,535154060,SC20,RL,0.0,12285,2,None,3,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,7,6,1960,1960,Gable,CompShg,Plywood,Plywood,BrkFace,128.0,3,3,CBlock,3,3,0,4,544.0,1,0.0,785.0,1329.0,GasA,4,Y,SBrkr,1329,0,0,1329,0.0,0.0,1,1,3,1,3,5,8,2,4,Attchd,1960.0,Unf,2.0,441.0,3,3,2,0,0,203,0,0,0,0,No,No,0,Aug,2009,WD ,Normal,176000
633,634,535154130,SC20,RL,66.0,9240,2,None,3,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,6,8,1959,1998,Hip,CompShg,MetalSd,MetalSd,None,0.0,4,3,CBlock,3,3,0,5,708.0,1,0.0,280.0,988.0,GasA,3,Y,SBrkr,988,0,0,988,1.0,0.0,2,0,3,1,4,6,8,0,0,Attchd,1959.0,Unf,1.0,297.0,3,3,2,156,0,0,0,0,0,0,No,No,0,Jun,2009,WD ,Normal,149500
634,635,535175030,SC20,RL,80.0,9600,2,None,4,Lvl,4,Inside,3,NAmes,Feedr,Norm,1Fam,1Story,6,6,1958,1988,Hip,CompShg,Wd Sdng,Wd Sdng,BrkCmn,183.0,3,3,CBlock,3,3,0,3,620.0,2,620.0,0.0,1240.0,GasA,4,Y,SBrkr,1632,0,0,1632,1.0,0.0,2,0,3,1,3,6,7,1,4,Attchd,1958.0,RFn,1.0,338.0,3,3,2,289,0,0,0,0,0,0,MnPrv,No,0,Apr,2009,WD ,Normal,139000
635,636,535175050,SC20,RL,66.0,12400,2,None,3,Lvl,4,Inside,3,NAmes,Feedr,Norm,1Fam,1Story,6,7,1958,1998,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,176.0,3,3,CBlock,3,2,0,3,585.0,1,0.0,630.0,1215.0,GasA,3,Y,FuseA,1215,0,0,1215,0.0,0.0,1,0,3,1,3,6,8,0,0,Attchd,1958.0,Unf,1.0,297.0,3,3,2,0,0,0,0,234,0,0,No,No,0,Jun,2009,WD ,Normal,155000
636,637,535178040,SC20,RL,70.0,8750,2,None,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,5,1956,1956,Gable,CompShg,BrkFace,BrkFace,None,0.0,3,3,CBlock,3,3,0,3,435.0,4,202.0,565.0,1202.0,GasA,3,Y,SBrkr,1202,0,0,1202,0.0,1.0,1,0,3,1,3,6,8,0,0,Attchd,1956.0,RFn,1.0,304.0,3,3,2,0,35,120,0,0,0,0,GdWo,No,0,Nov,2009,COD,Abnorml,120000
637,638,535178120,SC20,RL,70.0,8750,2,None,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,5,1955,1955,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,3,CBlock,3,3,0,3,172.0,2,483.0,727.0,1382.0,GasA,4,Y,FuseA,1382,0,0,1382,0.0,1.0,1,0,3,1,4,6,8,0,0,Attchd,1955.0,Unf,1.0,350.0,3,3,2,280,0,0,0,0,0,0,GdWo,No,0,Jul,2009,WD ,Normal,153000
638,639,535179160,SC20,RL,80.0,10400,2,None,4,Lvl,4,Corner,3,NAmes,Norm,Norm,1Fam,1Story,4,5,1956,1956,Gable,CompShg,Plywood,Plywood,None,0.0,3,3,CBlock,3,3,0,3,155.0,2,750.0,295.0,1200.0,GasA,3,Y,SBrkr,1200,0,0,1200,1.0,0.0,1,0,3,1,3,6,8,2,4,Attchd,1956.0,Unf,1.0,294.0,3,3,2,0,189,140,0,0,0,0,No,No,0,Nov,2009,WD ,Family,144000
639,640,535300120,SC80,RL,120.0,19296,2,None,4,Lvl,4,Corner,3,NAmes,Artery,Norm,1Fam,SLvl,6,5,1962,1962,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,399.0,3,3,CBlock,3,3,3,3,672.0,5,690.0,0.0,1362.0,GasA,3,Y,SBrkr,1382,0,0,1382,1.0,0.0,1,0,3,1,3,6,8,1,3,Attchd,1991.0,Unf,2.0,884.0,3,3,2,0,0,252,0,0,0,0,GdWo,No,0,May,2009,WD ,Normal,176000
640,641,535301170,SC20,RL,74.0,8532,2,None,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,3,3,CBlock,3,3,0,3,1213.0,1,0.0,84.0,1297.0,GasA,4,Y,SBrkr,1297,0,0,1297,0.0,1.0,1,0,3,1,3,5,8,1,3,Attchd,1954.0,Fin,2.0,498.0,3,3,2,0,0,0,0,0,0,0,No,No,0,Oct,2009,WD ,Normal,153000
641,642,535302120,SC90,RL,76.0,9482,2,None,4,Lvl,4,Inside,3,NAmes,Norm,Norm,Duplex,1Story,5,4,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,657.0,3,3,PConc,3,3,0,1,0.0,1,0.0,1866.0,1866.0,GasA,5,Y,SBrkr,1866,0,0,1866,0.0,0.0,2,0,4,2,3,8,8,0,0,Detchd,1958.0,Unf,2.0,495.0,3,2,2,0,0,0,0,0,0,0,No,No,0,Dec,2009,WD ,Normal,135000
642,643,535303110,SC20,RL,53.0,8128,2,None,3,Lvl,4,CulDSac,3,NAmes,Norm,Norm,1Fam,1Story,6,7,1954,1954,Hip,CompShg,MetalSd,MetalSd,BrkFace,80.0,3,3,CBlock,3,3,0,5,490.0,1,0.0,572.0,1062.0,GasA,4,Y,SBrkr,1062,0,0,1062,1.0,0.0,1,0,3,1,3,6,8,0,0,Attchd,1954.0,Unf,1.0,297.0,3,3,2,0,0,0,0,0,0,0,No,No,0,Feb,2009,WD ,Normal,131000
643,644,535303150,SC20,RL,79.0,10634,2,None,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1953,1953,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,PConc,3,3,0,4,428.0,2,180.0,0.0,608.0,GasA,3,Y,SBrkr,1319,0,0,1319,1.0,0.0,1,0,3,1,3,5,6,0,0,Attchd,1953.0,Unf,1.0,270.0,3,3,2,66,0,0,0,0,0,0,GdWo,No,0,Nov,2009,WD ,Normal,123000
644,645,535304100,SC20,RL,67.0,13070,2,None,4,Lvl,4,Corner,3,NAmes,Norm,Norm,1Fam,1Story,5,5,1951,1951,Hip,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,0,3,308.0,1,0.0,323.0,631.0,GasA,3,Y,FuseA,1112,0,0,1112,0.0,0.0,1,0,2,1,3,5,8,0,0,Basment,1951.0,Unf,2.0,480.0,3,3,2,0,0,0,0,255,0,0,No,No,0,Oct,2009,WD ,Normal,126000
645,646,535325290,SC20,RL,60.0,10434,2,None,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,4,5,1955,1955,Gable,CompShg,Plywood,Plywood,None,0.0,3,3,CBlock,3,3,0,1,0.0,1,0.0,1005.0,1005.0,GasA,3,Y,SBrkr,1005,0,0,1005,0.0,0.0,1,0,2,1,2,5,8,1,3,Detchd,1977.0,Unf,2.0,672.0,2,2,2,0,0,0,0,0,0,0,No,No,0,Nov,2009,WD ,Normal,115000
646,647,535351050,SC20,RL,75.0,14559,2,None,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Hip,CompShg,Wd Sdng,Wd Sdng,BrkCmn,70.0,4,3,CBlock,3,3,0,4,650.0,3,180.0,178.0,1008.0,GasA,5,Y,SBrkr,1363,0,0,1363,1.0,0.0,1,0,2,1,3,6,7,2,3,CarPort,1951.0,Unf,1.0,288.0,3,3,2,324,42,0,0,168,0,0,No,Shed,2000,Jun,2009,WD ,Normal,164900
647,648,535352090,SC30,RL,80.0,8480,2,None,4,Lvl,4,Corner,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1945,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3,3,0,4,700.0,1,0.0,93.0,793.0,GasA,3,Y,SBrkr,793,0,0,793,1.0,0.0,1,0,2,1,2,4,8,0,0,Detchd,1945.0,Unf,1.0,240.0,3,3,2,0,0,0,0,0,0,0,No,No,0,Aug,2009,WD ,Normal,113000
648,649,535353040,SC20,RL,60.0,7626,2,None,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,8,1952,2005,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,4,3,CBlock,3,3,0,6,931.0,1,0.0,100.0,1031.0,GasA,4,Y,SBrkr,1031,0,0,1031,1.0,0.0,1,0,2,1,4,5,8,0,0,Attchd,1952.0,Unf,1.0,230.0,3,3,2,0,0,0,0,0,0,0,MnPrv,No,0,Mar,2009,WD ,Normal,145500
649,650,535353060,SC20,RL,75.0,9533,2,None,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,5,1953,1953,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,140.0,3,3,Slab,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,3,Y,FuseA,1210,0,0,1210,0.0,0.0,1,1,2,1,3,7,8,0,0,Attchd,1953.0,Fin,1.0,616.0,3,3,2,208,0,100,0,0,0,0,MnPrv,No,0,Aug,2009,ConLD,Normal,102900
650,651,535353140,SC190,RL,107.0,10615,2,None,3,Bnk,4,Corner,2,OldTown,Artery,Artery,2fmCon,2Story,3,5,1900,1970,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,2,3,1,4,440.0,1,0.0,538.0,978.0,GasA,3,Y,SBrkr,1014,685,0,1699,1.0,0.0,2,0,3,2,3,7,8,0,0,CarPort,1920.0,Unf,2.0,420.0,2,2,2,0,74,0,0,0,0,0,No,No,0,Aug,2009,WD ,Abnorml,95000
